"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"0610005C13Rik",14,8,5,16,9,4,3,1,6,0,0,3,0,0,0
"0610007N19Rik",2086,1568,720,2178,1192,536,601,654,590,572,467,409,331,213,644
"0610007P14Rik",1054,1776,2101,1175,1891,1279,1445,2215,936,2043,1794,2616,1586,2073,1658
"0610008F07Rik",0,0,0,0,0,8,4,2,4,2,0,5,7,0,4
"0610009B14Rik",0,0,75,2,31,58,65,111,47,71,33,65,33,21,168
"0610009B22Rik",453,527,819,592,952,866,766,1316,630,1174,1479,2165,1260,1104,1233
"0610009D07Rik",2179,1994,2532,2437,3307,3036,2080,3262,2547,2863,3597,3709,3656,2731,2973
"0610009L18Rik",167,75,308,152,279,445,476,333,330,370,509,332,451,514,434
"0610009O20Rik",350,379,382,365,551,402,387,655,380,506,476,386,417,661,649
"0610010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010F05Rik",1747,1997,2351,2101,2947,3440,1973,3111,2738,2698,2007,2129,2765,1375,1556
"0610010K14Rik",1094,914,1138,1067,1274,1268,1117,934,992,1037,1152,1317,1299,1023,1239
"0610011F06Rik",781,530,1872,769,1347,1350,1514,1925,1057,1934,2142,3400,2208,2361,2133
"0610012G03Rik",1177,1045,1601,1180,1331,1254,1214,1257,889,1376,1723,2296,1509,1374,1747
"0610012H03Rik",0,23,0,0,7,0,0,0,4,1,0,0,11,0,15
"0610030E20Rik",854,1446,1382,1397,1514,1877,1346,1617,1691,1309,1122,1115,1372,1504,1547
"0610031J06Rik",3840,4846,9183,3648,7225,6217,6332,9267,5599,8127,6809,10678,7018,9690,9084
"0610031O16Rik",23,3,0,21,3,3,10,2,4,3,8,0,0,20,3
"0610037L13Rik",1648,1748,1345,1651,1625,1277,922,1664,1036,1136,1714,2111,1573,1152,1474
"0610038B21Rik",64,51,40,56,118,8,5,17,10,17,2,15,13,20,12
"0610038L08Rik",0,4,7,2,3,3,13,8,7,9,1,1,3,8,7
"0610039K10Rik",47,37,108,77,85,105,93,124,84,86,134,101,149,88,106
"0610040B10Rik",20,7,1,13,16,15,29,40,18,32,54,38,23,32,33
"0610040F04Rik",0,3,13,0,4,0,0,1,0,0,0,3,5,0,0
"0610040J01Rik",19,257,4586,151,2420,4009,3789,5951,3925,4944,4034,6323,3581,5318,4618
"0610043K17Rik",108,41,22,140,46,9,16,10,19,16,19,9,27,4,23
"1100001G20Rik",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1110001A16Rik",320,367,497,346,465,440,337,663,345,560,954,1149,916,461,563
"1110001J03Rik",481,358,736,537,631,542,676,685,434,755,775,1122,823,866,843
"1110002L01Rik",83,117,298,87,133,209,304,177,242,217,90,121,167,221,194
"1110004E09Rik",592,837,1113,569,892,1050,755,1116,864,938,1073,1693,1051,915,1001
"1110004F10Rik",5405,5366,4303,5558,6066,4795,3499,5066,4587,4870,5036,5482,5508,4038,4326
"1110006O24Rik",22,8,68,54,71,89,64,83,63,65,143,59,97,56,83
"1110007C09Rik",2254,1505,2427,2060,2443,1969,1745,2063,1872,1725,2192,1856,2100,1774,2141
"1110008F13Rik",1279,1290,2383,1163,2242,2254,1757,2392,1921,2334,3013,4082,3149,2797,2891
"1110008J03Rik",528,424,650,506,548,407,391,371,414,509,421,293,434,300,468
"1110008L16Rik",347,520,559,388,488,589,523,891,506,748,598,989,667,569,565
"1110008P14Rik",266,448,747,258,757,436,507,732,327,488,688,1167,489,839,976
"1110012L19Rik",926,957,1412,1070,1081,2425,1116,2128,1970,1340,2085,1570,1891,955,1170
"1110015O18Rik",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",8,0,1,1,0,1,1,0,0,0,0,1,0,0,0
"1110018G07Rik",849,2367,1591,1118,1978,1342,1185,2072,1411,1413,1020,1877,1367,1261,1102
"1110019D14Rik",89,123,66,48,161,145,169,232,111,154,196,228,125,194,159
"1110020A21Rik",37,16,49,37,51,59,63,68,27,53,80,53,42,53,68
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,9,5,13,16,7,37,22,0,6,11,0
"1110028F18Rik",0,0,8,1,8,9,2,0,0,3,0,0,15,0,1
"1110032A03Rik",776,660,1020,965,1106,1011,757,1369,740,1042,1629,2460,1744,1052,973
"1110032F04Rik",0,8,0,16,104,0,5,0,1,35,34,36,30,0,59
"1110034G24Rik",435,301,156,329,253,146,107,209,102,186,342,322,336,207,198
"1110035M17Rik",0,2,0,3,0,1,0,1,1,0,0,1,10,0,0
"1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1110037F02Rik",1566,3061,2924,2447,3528,3314,2675,4423,3624,3290,2993,3837,4003,3161,2431
"1110038B12Rik",628,212,596,774,583,1070,706,613,947,428,930,373,1248,578,665
"1110038F14Rik",841,925,797,839,955,623,685,804,557,765,668,824,714,581,772
"1110046J04Rik",47,102,20,73,69,16,8,22,27,11,16,1,20,28,25
"1110051M20Rik",1059,1246,642,1290,946,548,511,759,566,586,444,483,744,615,559
"1110054M08Rik",101,125,307,96,217,256,312,289,243,326,274,306,319,295,352
"1110057K04Rik",3120,2701,2464,3182,3119,2145,1993,2530,1842,2443,2253,2806,2635,2138,2609
"1110058L19Rik",425,469,343,485,501,232,196,346,204,296,395,790,384,393,386
"1110059E24Rik",1142,1322,1169,1567,1593,1046,830,1529,846,1240,1213,1762,1357,709,1083
"1110059G10Rik",472,596,333,676,606,392,370,671,326,463,450,633,484,227,228
"1110059M19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110065P20Rik",621,575,881,612,1061,948,707,729,836,725,1283,1595,1250,1048,1276
"1190002F15Rik",187,110,307,210,405,147,312,298,73,385,91,141,82,242,491
"1190002N15Rik",6587,5223,5501,7713,7682,7185,4960,5905,7417,5253,4415,3825,6113,3350,3910
"1190003J15Rik",32,40,1052,33,452,1378,1209,1098,1279,966,683,292,894,660,651
"1190003K10Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",40,30,41,53,25,18,32,39,21,50,46,78,50,112,39
"1190007I07Rik",207,173,291,237,328,273,301,356,196,352,403,569,400,389,552
"1200011I18Rik",1398,2357,3325,1802,3045,3440,2001,3094,3058,2906,2132,3679,4095,1422,1785
"1200014J11Rik",1280,1352,1174,1500,1603,1738,971,1875,1612,1384,1461,1817,1635,1006,1106
"1300002E11Rik",626,462,506,741,740,532,458,827,505,653,860,1253,1248,506,623
"1300002K09Rik",31,61,30,74,43,73,49,43,79,60,122,143,187,44,60
"1300015D01Rik",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1300017J02Rik",0,12,29,0,0,0,0,0,7,4,0,24,0,16,10
"1300018J18Rik",2154,1837,2636,1580,2238,2387,2245,2779,2127,2461,2370,3277,2702,3089,2593
"1500002O10Rik",0,0,86,0,86,107,97,128,100,109,88,91,107,86,85
"1500004A13Rik",42,124,58,80,149,125,68,97,87,87,64,56,116,38,89
"1500009C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",416,404,44,497,374,0,7,17,6,16,6,21,15,18,117
"1500011B03Rik",537,416,861,612,748,1126,741,1005,906,891,1742,1365,1576,722,1226
"1500011K16Rik",487,351,414,398,470,276,317,379,225,350,538,790,578,332,373
"1500012F01Rik",1015,469,654,1239,862,1000,601,598,742,591,1165,689,1271,810,977
"1500012K07Rik",7,1,0,10,50,0,0,0,0,0,0,1,0,0,0
"1500015A07Rik",355,187,1257,189,466,1505,1380,918,1686,1092,648,123,825,914,675
"1500015L24Rik",0,0,5,0,0,12,2,2,3,5,3,0,1,0,0
"1500015O10Rik",2037,630,59,2161,527,0,0,0,4,13,94,55,100,36,487
"1500016L03Rik",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"1500017E21Rik",0,1,36,0,25,12,34,6,11,16,60,1,22,3,2
"1500032L24Rik",1842,1605,3278,1728,2802,2570,2744,2697,2193,2624,2903,3462,2985,2947,3700
"1600002D24Rik",0,4,0,0,26,9,11,6,4,7,6,14,16,0,5
"1600002H07Rik",212,220,288,165,230,156,244,378,164,362,236,126,211,234,229
"1600002K03Rik",190,171,268,163,271,146,207,253,120,310,270,536,292,263,340
"1600010M07Rik",1,10,12,18,4,6,0,2,4,2,10,29,23,0,4
"1600012H06Rik",1926,2217,3003,2080,3255,3450,2716,3572,3483,3250,3747,4420,4028,2009,2765
"1600014C10Rik",771,1959,616,852,1182,372,301,609,387,344,667,1019,692,673,558
"1600014C23Rik",1,1,5,0,0,0,0,0,0,4,17,14,2,0,6
"1600014K23Rik",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"1600016N20Rik",0,32,263,12,239,505,252,473,525,413,340,441,395,441,177
"1600019K03Rik",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1600020E01Rik",1003,528,547,1264,705,934,565,763,917,623,871,713,1194,814,761
"1600023N17Rik",47,31,26,55,106,38,48,34,54,51,50,0,53,14,57
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029D21Rik",404,714,12545,677,6630,20270,13463,12890,19963,12393,11725,12249,14121,12611,11733
"1600029I14Rik",0,0,9,0,0,0,3,0,0,0,0,6,0,0,15
"1600029O15Rik",73,67,48,101,60,2,1,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,33,27,0,15,2,15,31,14,18,10,98,19,53,36
"1700001D01Rik",0,0,1,0,4,0,11,3,0,1,2,1,0,0,0
"1700001F09Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",2,7,0,0,16,0,0,0,0,0,5,2,0,0,0
"1700001G17Rik",23,18,7,21,17,8,13,20,10,32,1,15,24,19,30
"1700001J03Rik",0,0,9,0,0,0,0,3,1,0,0,0,4,0,0
"1700001J11Rik",4,1,2,1,0,4,2,3,2,9,12,0,0,2,2
"1700001K19Rik",12,3,22,2,7,10,5,18,7,3,15,29,36,9,4
"1700001K23Rik",0,4,0,2,1,0,2,0,4,1,0,0,2,1,0
"1700001L05Rik",84,309,1421,304,1095,1505,1311,2430,1390,1220,1319,981,1343,1579,1297
"1700001L19Rik",8,4,7,1,3,0,0,8,0,1,0,0,0,0,0
"1700001O22Rik",0,11,164,19,73,135,142,118,96,130,257,283,152,310,201
"1700001P01Rik",19,15,38,10,44,31,26,38,44,29,40,35,60,10,26
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,4,190,6,67,189,104,245,148,132,64,92,85,36,74
"1700003E16Rik",64,121,16,42,69,29,23,52,21,20,28,65,17,3,33
"1700003F12Rik",23,42,1,40,21,19,0,6,1,3,3,6,9,12,0
"1700003F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003G13Rik",0,0,16,0,16,5,15,8,4,5,7,8,13,17,9
"1700003G18Rik",0,0,0,0,2,2,0,0,0,2,0,0,5,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M02Rik",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"1700003M07Rik",14,39,11,8,19,0,0,0,0,0,0,0,0,0,0
"1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,2,0,0,0,0,0,0,4,0,0,0
"1700007B14Rik",0,0,0,6,2,0,0,0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,3,0,0,3,2,1,0,0,0,19
"1700007G11Rik",0,3,0,0,0,0,1,7,0,0,1,0,4,0,0
"1700007J10Rik",5,14,22,22,49,20,22,25,19,30,20,23,17,10,12
"1700007K09Rik",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"1700007K13Rik",0,6,0,0,7,0,7,10,4,13,2,2,2,9,0
"1700007L15Rik",37,28,75,22,88,122,115,102,55,100,193,159,169,138,69
"1700007P06Rik",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1700008A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700008F21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008I05Rik",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008J07Rik",234,224,366,191,423,302,302,285,323,403,201,280,292,337,153
"1700008K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",0,3,4,7,4,0,0,2,1,1,3,6,0,0,10
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,4,1,4,0,5,0,0,1,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,8,0,0,13,0,0,0,0,3
"1700009P17Rik",0,19,58,2,17,20,29,62,35,44,45,124,49,62,48
"1700010B08Rik",0,0,1,0,1,0,0,0,0,0,0,0,7,0,0
"1700010D01Rik",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",15,28,30,8,12,1,0,0,0,3,0,19,2,0,0
"1700010J16Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,17,0,6,4,6,1,4,10,0,0,0,0,0
"1700011B04Rik",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"1700011E24Rik",0,4,0,0,5,0,0,1,9,0,1,0,2,0,0
"1700011H14Rik",0,0,0,1,14,5,6,12,11,5,32,31,25,0,0
"1700011I03Rik",0,0,0,3,4,3,0,17,1,1,0,0,6,0,0
"1700011J10Rik",342,294,210,333,313,306,231,399,219,293,358,346,332,215,345
"1700011L22Rik",0,0,0,0,1,1,0,0,1,0,0,1,1,13,0
"1700011M02Rik",3,5,0,0,5,0,0,1,0,0,0,0,0,0,3
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700012B15Rik",802,561,516,898,721,845,598,833,761,611,855,714,1031,809,846
"1700012D01Rik",14,15,66,33,67,63,36,50,33,53,62,114,56,54,94
"1700012D14Rik",39,50,60,33,59,42,44,33,29,24,50,44,52,25,37
"1700012I11Rik",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,1,23,0,2,28,27,27,31,10,11,12,5,11,8
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",5,1,14,0,8,2,0,9,5,5,2,1,8,0,4
"1700013G23Rik",3,11,25,11,15,6,22,20,19,31,1,19,11,13,18
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015E13Rik",38,30,4,29,13,29,3,34,21,2,8,51,31,12,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",6,8,6,9,28,9,4,10,7,7,9,0,7,5,0
"1700016D06Rik",0,0,0,0,11,0,1,0,0,0,0,0,0,0,0
"1700016G22Rik",0,0,191,3,231,154,199,70,108,131,122,36,148,164,276
"1700016H13Rik",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1700016K19Rik",4,0,4,0,1,1,1,4,4,6,9,1,7,0,0
"1700016L04Rik",0,0,0,0,5,0,0,0,0,0,0,1,0,0,1
"1700016L21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",2811,3700,3969,2825,3619,2573,2567,2338,2789,1954,1705,1230,1852,2600,3073
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017G19Rik",0,0,1,10,4,0,6,0,0,1,0,0,0,0,0
"1700017J07Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"1700018A04Rik",4,5,6,0,10,4,9,1,5,4,13,0,5,4,1
"1700018B08Rik",0,1,0,0,4,3,1,5,0,0,0,0,0,0,11
"1700018B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1700018F24Rik",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700018G05Rik",8,6,1,4,0,0,0,0,0,0,0,0,0,0,2
"1700018L02Rik",33,28,108,42,59,76,70,67,51,61,53,86,64,67,63
"1700019A02Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700019B03Rik",0,6,70,7,41,3,35,40,13,32,22,14,11,89,80
"1700019B21Rik",14,0,5,23,1,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",1121,999,414,1228,936,526,529,571,428,602,556,697,708,346,522
"1700019E08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019G17Rik",138,52,198,66,218,207,127,353,162,303,79,100,106,190,319
"1700019G24Rik",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019L03Rik",24,38,67,46,57,128,81,84,102,44,38,49,91,21,61
"1700019M22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,3,12,0,0,5,0,0,0,0,20
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,7,0,0,0,1,0,0,0,4,14,0
"1700020D05Rik",0,1,1,9,9,9,3,3,4,5,16,20,23,4,10
"1700020G17Rik",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"1700020I14Rik",3047,2622,2615,4457,3407,3529,2134,3745,3273,2478,2995,2451,3053,1423,1787
"1700020L24Rik",0,0,11,2,0,2,1,9,5,11,0,0,0,0,17
"1700020M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N01Rik",0,0,15,1,3,11,22,18,10,12,34,74,9,21,31
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N18Rik",0,0,0,0,5,1,5,5,0,0,9,0,0,0,7
"1700021F05Rik",578,600,628,594,648,407,373,509,284,405,487,786,521,634,599
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021K19Rik",1450,2782,2968,1635,2566,2794,2578,3449,2706,2415,1463,1554,1867,2439,2332
"1700021N21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,0,0,2,0,0,0,22,0,3,18,1,0,6,0
"1700022P22Rik",2,0,5,1,3,8,4,0,2,2,0,0,2,0,1
"1700023A16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023C21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023E05Rik",0,1,8,0,0,4,12,9,5,1,0,5,0,0,0
"1700023F02Rik",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"1700023F06Rik",2,0,19,1,1,16,26,1,1,7,0,7,3,7,24
"1700023L04Rik",45,19,10,41,26,19,0,10,1,8,1,0,0,20,0
"1700024B18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024F13Rik",0,0,0,0,0,0,1,0,0,0,0,0,4,0,9
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P03Rik",0,4,0,0,0,1,8,0,0,4,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"1700024P16Rik",213,449,5287,310,1843,7613,5775,7685,6969,4849,6102,3368,6688,2984,2322
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025E21Rik",0,0,0,3,1,0,0,0,0,0,1,19,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",1070,1128,661,1007,1376,304,395,597,224,405,313,473,327,161,659
"1700025K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025M24Rik",2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"1700025N23Rik",0,2,4,2,1,0,0,2,0,0,0,0,0,0,0
"1700026D08Rik",0,0,0,0,2,5,1,0,0,0,22,13,0,0,0
"1700026D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026F02Rik",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026L06Rik",0,12,0,8,9,1,0,0,0,1,0,2,1,6,6
"1700027A15Rik",0,0,0,0,15,1,0,0,0,1,0,3,1,0,0
"1700027F09Rik",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027I24Rik",0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
"1700027J07Rik",0,2,2,0,0,0,0,0,0,0,1,2,0,0,0
"1700028B04Rik",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028E10Rik",39,13,46,16,39,9,20,18,13,31,42,63,88,47,24
"1700028I16Rik",0,0,0,0,0,3,0,1,0,1,10,5,0,0,0
"1700028J19Rik",15,20,66,3,50,35,51,56,39,81,29,17,29,69,30
"1700028K03Rik",23,24,9,18,24,19,11,20,20,26,15,9,18,43,13
"1700028M03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P14Rik",14,3,3,43,29,0,0,0,0,0,0,0,2,0,0
"1700028P15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
"1700029H14Rik",0,3,0,0,4,0,0,0,0,0,2,0,0,0,1
"1700029I15Rik",29,28,9,37,18,14,21,19,9,15,11,21,15,9,27
"1700029J03Rik",19,1,0,1,16,0,0,0,0,0,0,0,0,0,0
"1700029J07Rik",542,308,186,585,402,426,284,264,305,317,454,635,418,134,231
"1700029M20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029P11Rik",0,0,0,0,0,0,1,5,0,0,0,0,11,0,0
"1700030A11Rik",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"1700030C10Rik",130,119,295,150,97,166,126,194,151,62,86,154,86,113,72
"1700030F04Rik",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1700030F18Rik",1,0,2,0,6,0,0,1,0,0,0,3,0,0,0
"1700030J22Rik",51,100,34,63,72,34,38,23,47,27,6,77,29,36,10
"1700030K09Rik",613,821,357,790,598,252,242,546,175,375,298,216,197,299,287
"1700030L20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030M09Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700030N03Rik",0,0,0,0,7,0,9,1,0,2,0,2,1,0,0
"1700030O20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031A10Rik",1,1,2,6,14,18,4,1,0,6,11,0,0,14,0
"1700031F05Rik",0,0,0,0,0,0,10,0,0,0,0,0,0,0,1
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"1700034F02Rik",3,7,4,2,51,19,9,25,26,6,16,53,25,0,1
"1700034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034H15Rik",13,5,19,1,1,0,10,1,9,17,11,6,23,0,6
"1700034I23Rik",1,0,0,3,13,2,0,10,0,1,7,0,11,1,0
"1700034J05Rik",1,0,0,8,6,2,0,2,0,5,0,0,0,0,48
"1700034K08Rik",0,0,0,0,6,0,0,0,0,0,0,3,5,0,0
"1700034O15Rik",0,0,0,0,1,0,0,0,0,0,2,0,3,0,0
"1700034P13Rik",5,4,6,1,5,9,6,4,5,9,5,1,10,17,5
"1700036G14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037C18Rik",102,136,340,76,280,242,280,445,180,376,324,499,368,429,285
"1700037H04Rik",1038,850,1055,1061,1022,965,803,1248,814,994,1070,838,1143,1017,911
"1700039E15Rik",0,0,0,0,0,0,2,0,1,0,0,0,17,4,0
"1700039E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700040L02Rik",69,11,26,60,21,31,56,52,46,41,49,97,52,124,68
"1700040N02Rik",0,0,0,0,1,5,0,1,5,0,0,8,0,0,0
"1700041C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700042B14Rik",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"1700042G07Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700042G15Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1700042O10Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700044C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700045H11Rik",0,0,1,1,0,0,1,0,5,2,0,0,0,0,0
"1700045I19Rik",18,33,0,64,25,0,0,0,0,3,0,6,0,8,50
"1700046C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700047E10Rik",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"1700047G03Rik",1,5,8,5,17,11,6,11,16,4,5,2,31,3,0
"1700047I17Rik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047L14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047M11Rik",0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
