#1.2							
16155	6						
NAME	Description	A-Erg3	A-Erg4	A-Erg5	A-Nrm4	A-Nrm5	A-Nrm6
DEFB116	NA	0	0	1	0	0	0
LOC100133267	NA	2	0	6	0	5	0
DEGS1	NA	5673	7776	7193	13885	13285	6884
DEGS2	NA	122	939	891	1816	1506	293
DEK	NA	1533	3081	4115	2263	2323	2185
DENND1A	NA	574	298	677	657	562	429
DENND1B	NA	813	1549	2067	891	703	667
DENND1C	NA	828	2571	2793	29	22	161
DENND2A	NA	110	25	52	858	585	313
DENND2C	NA	106	99	86	131	215	743
DENND2D	NA	273	2561	1998	176	61	121
DENND3	NA	297	501	443	290	316	50
DENND4A	NA	4327	4575	8975	1020	989	562
DENND4B	NA	717	1152	1310	168	171	227
DENND4C	NA	254	576	676	616	384	293
DENND5A	NA	2526	1486	2228	2976	2530	1520
DENND5B	NA	280	488	633	1913	893	1153
DENND6A	NA	294	431	587	1097	760	521
DENND6B	NA	44	127	192	88	74	67
DENR	NA	2015	2498	2715	2682	2575	1727
DEPDC1	NA	24	96	91	43	30	8
DEPDC1B	NA	2	5	41	3	6	4
DEPDC5	NA	313	595	603	566	537	342
DEPDC7	NA	580	129	130	164	318	366
DEPTOR	NA	149	210	175	1115	1049	876
DERA	NA	1184	1995	1631	1421	1210	690
DERL1	NA	3972	2900	3644	5472	4913	2874
DERL2	NA	3429	3695	4090	5939	5037	2595
DERL3	NA	95	225	68	625	667	132
DES	NA	474	77	145	2975	4816	2267
DESI1	NA	385	500	666	689	482	465
DESI2	NA	563	622	597	1451	1021	616
DET1	NA	128	186	294	220	276	152
DEXI	NA	65	82	111	106	134	84
DFFA	NA	249	591	419	547	296	285
DFFB	NA	157	409	343	181	166	89
DFNA5	NA	226	182	195	586	461	259
DFNB59	NA	4	4	6	2	6	0
DGAT1	NA	1653	4389	6435	279	293	208
DGAT2	NA	764	775	733	199	250	203
DGAT2L6	NA	0	1	3	0	6	0
DGCR14	NA	566	972	1325	984	875	646
DGCR2	NA	1164	1349	1196	2407	1996	1711
DGCR8	NA	250	232	372	440	319	229
DGKB	NA	0	1	22	45	196	46
DGKD	NA	843	1714	2742	306	345	590
DGKE	NA	197	448	772	99	268	182
DGKG	NA	125	122	65	22	73	25
DGKH	NA	107	143	172	44	91	96
DGKI	NA	0	5	1	2	17	43
DGKK	NA	0	0	32	0	5	0
DGKQ	NA	118	191	267	226	134	166
DGKZ	NA	1712	1626	2390	263	265	389
DGUOK	NA	693	1237	991	1635	1454	974
DHCR24	NA	137	158	172	87	121	194
DHCR7	NA	271	866	526	572	523	283
DHDDS	NA	526	526	732	1514	1123	585
DHDH	NA	109	43	80	349	184	146
DHFR	NA	318	435	529	314	366	264
DHH	NA	1	2	8	0	4	1
DHODH	NA	340	801	702	1226	1123	618
DHPS	NA	391	636	689	350	252	207
DHRS1	NA	1072	906	989	2352	1965	1558
DHRS11	NA	233	319	328	145	171	77
DHRS13	NA	65	46	41	71	93	34
DHRS3	NA	19285	11894	10258	26813	17349	14923
DHRS4	NA	878	929	1074	1812	1714	1009
DHRS7	NA	1765	2425	2077	7008	4460	3140
DHRS7B	NA	599	760	741	937	913	460
DHRS7C	NA	4	1	1	1	3	0
DHRS9	NA	223	239	169	2	0	1
DHRSX	NA	0	0	0	0	0	0
DHTKD1	NA	3	15	15	87	86	46
DHX15	NA	2479	3069	3705	3480	2990	2811
DHX16	NA	217	350	407	328	253	228
DHX29	NA	223	255	304	467	456	235
DHX30	NA	963	1482	1811	2151	1912	940
DHX32	NA	272	694	670	1994	1139	970
DHX33	NA	362	377	326	677	488	273
DHX34	NA	325	343	381	225	205	180
DHX35	NA	221	479	396	303	266	325
DHX36	NA	628	1197	1362	1361	1130	945
DHX37	NA	166	348	330	314	305	170
DHX38	NA	932	953	980	760	619	636
DHX40	NA	1617	1009	1983	2333	2234	1808
DHX57	NA	277	355	397	472	353	337
DHX58	NA	1089	2718	2577	503	334	225
DHX8	NA	842	1103	1240	850	731	627
DHX9	NA	779	937	1188	901	884	514
DIABLO	NA	1188	1344	1546	3292	2889	1538
DIAPH1	NA	530	1012	1041	785	565	333
DIAPH3	NA	49	80	131	77	24	44
DICER1	NA	273	526	872	537	530	469
DIDO1	NA	773	1209	1454	1494	1092	997
DIEXF	NA	167	249	406	233	353	192
DIMT1	NA	272	400	389	603	660	395
DIO1	NA	0	35	66	1	35	1
DIO2	NA	174	134	35	378	565	192
DIO3	NA	256	10	4	109	110	48
DIP2A	NA	177	155	182	544	386	324
DIP2B	NA	1116	1697	2301	632	696	1058
DIP2C	NA	436	194	198	793	812	695
DIRAS1	NA	6	6	1	5	5	0
DIRAS2	NA	0	17	26	1	9	8
DIRC2	NA	738	481	558	797	552	347
DIS3	NA	137	201	294	310	226	179
DIS3L	NA	339	287	475	701	539	334
DIS3L2	NA	319	553	837	656	432	409
DISC1	NA	14	17	49	3	6	0
DISP1	NA	178	254	203	1057	458	459
DISP2	NA	29	14	47	62	187	36
DIXDC1	NA	52	65	53	436	519	164
DKC1	NA	755	2183	1909	2737	2046	1549
DKK1	NA	0	2	1	0	0	0
DKK2	NA	2562	329	773	1439	3836	790
DKK3	NA	9984	1704	1668	2526	4791	1481
DKK4	NA	0	10	15	0	3	0
DKKL1	NA	9	520	495	144	68	2
DLAT	NA	768	690	986	1726	1483	909
DLC1	NA	239	59	139	1849	1322	939
DLD	NA	3013	3760	4818	6808	6775	3667
DLEC1	NA	26	0	21	22	19	12
DLEU7	NA	0	4	0	0	0	0
DLG1	NA	812	777	1110	1360	1252	866
DLG2	NA	142	44	26	473	178	153
DLG3	NA	171	103	111	142	188	161
DLG4	NA	115	33	70	560	479	166
DLG5	NA	364	172	245	623	480	568
DLGAP1	NA	45	48	61	35	63	5
DLGAP2	NA	8	3	0	10	16	0
DLGAP3	NA	4	0	1	0	0	2
DLGAP4	NA	1941	1706	1721	4194	2989	1871
DLGAP5	NA	112	231	302	113	104	38
DLK1	NA	12	15	56	36	56	18
DLK2	NA	0	3	0	7	22	951
DLL1	NA	9	44	60	18	0	502
DLL3	NA	0	0	0	4	0	0
DLL4	NA	55	117	87	0	0	1
DLST	NA	1808	2054	3189	2979	2867	2055
DLX1	NA	0	0	0	0	0	0
DLX2	NA	0	0	0	0	0	0
DLX3	NA	3	16	29	25	13	4
DLX4	NA	1	0	2	4	7	0
DLX5	NA	1	0	3	4	1	14
DLX6	NA	0	0	1	0	0	0
DMAP1	NA	286	381	545	627	496	363
DMBT1	NA	113	2776	1392	0	6	0
DMBX1	NA	9	33	44	6	61	0
DMC1	NA	0	0	5	26	50	12
DMD	NA	452	112	93	2437	1988	899
DMGDH	NA	0	1	6	2	0	0
DMKN	NA	571	50	66	2895	1774	1600
DMP1	NA	10	12	0	0	10	0
DMPK	NA	139	17	19	875	924	503
DMRT1	NA	0	4	4	0	14	0
DMRT2	NA	0	1	25	117	33	8
DMRT3	NA	0	5	7	0	1	0
DMRTA1	NA	16	119	134	0	0	0
DMRTA2	NA	1	0	7	0	2	0
DMRTB1	NA	1	2	4	2	8	0
DMRTC2	NA	0	0	0	0	1	0
DMTF1	NA	1348	2278	2885	2750	2480	1729
DMWD	NA	192	20	44	500	379	265
DMXL1	NA	692	1132	1692	901	942	678
DMXL2	NA	845	369	334	449	384	212
DNA2	NA	78	225	129	18	11	13
DNAAF1	NA	3	9	6	6	1	0
DNAAF2	NA	284	434	523	410	254	216
DNAAF3	NA	235	145	285	152	113	175
DNAI1	NA	0	6	9	35	27	4
DNAI2	NA	22	9	7	51	81	49
DNAJA1	NA	5888	7641	10729	12545	14122	10275
DNAJA2	NA	4032	4433	5173	6987	6681	4377
DNAJA3	NA	703	810	778	1759	1595	888
DNAJA4	NA	234	391	532	516	625	318
DNAJB1	NA	12287	8244	12045	14938	24400	37315
DNAJB11	NA	2894	2652	2584	2836	3111	1977
DNAJB12	NA	564	723	801	795	799	472
DNAJB13	NA	76	93	178	23	30	34
DNAJB14	NA	423	323	364	248	239	146
DNAJB2	NA	691	647	873	666	741	644
DNAJB4	NA	1593	1353	1718	6411	7608	6851
DNAJB5	NA	300	165	406	249	206	188
DNAJB6	NA	1289	1596	2136	1167	1101	865
DNAJB7	NA	9	41	35	26	35	15
DNAJB8	NA	0	0	0	0	0	0
DNAJB9	NA	6060	2851	4759	6147	6641	4515
DNAJC1	NA	1230	976	1523	2351	2061	1332
DNAJC10	NA	3244	8398	7130	21504	17713	4792
DNAJC11	NA	547	774	773	1007	1010	599
DNAJC12	NA	592	772	943	374	267	159
DNAJC13	NA	788	941	1291	1381	1052	1190
DNAJC14	NA	972	1816	1745	2519	2116	1242
DNAJC15	NA	884	2445	2438	839	934	564
DNAJC16	NA	122	174	308	137	114	227
DNAJC17	NA	115	240	311	135	217	112
DNAJC18	NA	1175	641	1065	4257	3280	1455
DNAJC19	NA	526	737	726	1253	1224	590
DNAJC2	NA	591	1186	1439	610	572	438
DNAJC21	NA	157	461	443	451	493	245
DNAJC22	NA	17	47	14	1	7	1
DNAJC24	NA	424	810	733	1246	1025	702
DNAJC25	NA	130	102	71	281	307	97
DNAJC27	NA	145	248	260	278	295	207
DNAJC28	NA	83	58	71	147	80	63
DNAJC3	NA	6512	4973	4990	13476	13231	6137
DNAJC30	NA	670	1025	1076	1699	1242	935
DNAJC4	NA	474	707	621	1151	888	792
DNAJC5	NA	2524	2958	3328	3523	3175	2923
DNAJC5B	NA	0	0	2	0	0	0
DNAJC5G	NA	0	0	26	0	6	0
DNAJC6	NA	13	49	110	3	30	16
DNAJC7	NA	2798	5433	5129	4885	4050	2887
DNAJC8	NA	3458	5229	5897	5421	4701	3207
DNAJC9	NA	620	2560	2952	992	999	549
DNALI1	NA	7	2	2	14	12	4
DNASE1	NA	12	14	35	21	24	21
DNASE1L1	NA	1086	849	798	1838	1442	1035
DNASE1L2	NA	59	294	375	293	224	111
DNASE1L3	NA	1815	2897	5881	148	62	464
DNASE2B	NA	79	17	29	1264	154	0
DND1	NA	18	21	58	33	29	20
DNER	NA	21	18	27	1287	2543	678
DNLZ	NA	357	457	428	821	636	503
DNM1	NA	151	7	33	881	525	404
DNM1L	NA	1436	1647	2290	3799	3403	2043
DNM2	NA	3690	4571	4598	3702	2936	2203
DNM3	NA	144	50	51	430	368	150
DNMBP	NA	353	247	450	1266	1221	591
DNMT1	NA	698	1614	2155	839	737	684
DNMT3A	NA	2680	1262	2639	1091	1562	963
DNMT3B	NA	18	94	117	70	46	78
DNMT3L	NA	79	5	15	212	105	156
DNPEP	NA	1550	2201	1546	6156	3884	1836
DNPH1	NA	100	137	79	153	138	125
DNTT	NA	15	136	111	0	7	0
DNTTIP1	NA	154	202	171	161	100	153
DNTTIP2	NA	3129	4751	6244	6349	5083	3316
DOC2A	NA	91	103	92	128	115	60
DOC2B	NA	30	49	49	26	31	33
DOCK1	NA	1512	529	512	2994	2254	1903
DOCK10	NA	1871	3488	4846	504	297	234
DOCK11	NA	549	1581	1642	1424	831	523
DOCK2	NA	1641	3888	4895	141	63	158
DOCK3	NA	21	48	44	72	87	9
DOCK4	NA	97	63	104	165	51	36
DOCK5	NA	696	642	688	257	227	354
DOCK6	NA	292	101	115	329	496	252
DOCK7	NA	678	250	320	1685	1136	970
DOCK8	NA	1058	2290	2582	191	90	327
DOCK9	NA	174	316	491	852	953	512
DOK1	NA	1492	1132	966	1576	1286	445
DOK3	NA	972	1283	928	8	3	76
DOK4	NA	89	11	28	328	308	147
DOK5	NA	18	1	3	3	43	0
DOK6	NA	2	0	0	0	2	0
DOK7	NA	3	5	7	22	62	21
DOLK	NA	660	636	711	1679	1286	720
DOLPP1	NA	272	519	715	924	784	520
DONSON	NA	206	441	539	128	50	143
DOPEY1	NA	282	219	455	477	489	351
DOPEY2	NA	665	1029	1360	541	359	318
DOT1L	NA	1454	603	1246	452	416	825
DPAGT1	NA	979	730	363	1572	1424	885
DPCD	NA	746	1173	1056	1314	1098	838
DPCR1	NA	0	0	1	0	0	6
DPEP1	NA	2226	332	312	41155	27217	11687
DPEP2	NA	950	206	206	20	39	20
DPEP3	NA	6	2	4	0	2	0
DPF1	NA	22	12	10	200	154	34
DPF2	NA	1907	3408	3429	3203	3082	1790
DPF3	NA	3	2	26	8	43	8
DPH1	NA	175	179	278	148	209	129
DPH2	NA	164	418	366	366	243	187
DPH3	NA	1751	1933	2204	3494	3166	2148
DPH5	NA	698	954	1226	1220	978	570
DPM1	NA	1446	2538	2605	3119	2876	1851
DPM2	NA	1531	1560	1869	2326	1922	1186
DPM3	NA	979	1284	1347	2673	2060	1293
DPP10	NA	3	6	2	0	2	0
DPP3	NA	1281	1820	1285	2328	1767	881
DPP4	NA	963	2220	2465	22061	9736	4438
DPP6	NA	102	7	1	15	1	15
DPP7	NA	1305	747	716	1678	1636	727
DPP8	NA	673	782	899	1281	1054	671
DPP9	NA	878	1032	1269	1024	1020	744
DPPA2	NA	3	5	43	3	23	0
DPPA4	NA	0	0	12	1	9	0
DPPA5	NA	0	0	0	0	0	0
DPT	NA	4202	507	584	91159	53808	25816
DPY19L1	NA	590	735	699	1838	1330	713
DPY19L2	NA	0	0	1	0	0	0
DPY19L3	NA	217	279	444	557	322	208
DPY19L4	NA	231	250	192	412	385	232
DPY30	NA	1209	2277	2252	2777	2850	1808
DPYD	NA	110	14	62	893	1192	792
DPYS	NA	455	74	237	1	12	1
DPYSL2	NA	17827	16295	18460	84459	58232	28473
DPYSL3	NA	1798	250	211	3871	3332	1735
DPYSL4	NA	64	20	3	173	242	113
DPYSL5	NA	0	17	7	60	103	104
DQX1	NA	32	39	50	42	5	20
DR1	NA	854	1382	1545	1293	1346	905
DRAM1	NA	1995	841	856	5614	4290	2058
DRAM2	NA	3666	4286	4215	4798	4013	2666
DRAP1	NA	534	566	551	2009	1674	1105
DRAXIN	NA	6	2	4	18	10	2
DRD2	NA	0	0	0	0	0	0
DRD3	NA	1	0	12	0	1	0
DRD4	NA	13	1	0	0	1	0
DRD5	NA	11	3	0	1	6	0
DRG1	NA	2654	4741	4082	7369	6642	3308
DRG2	NA	1223	1584	1604	3796	3140	1476
DROSHA	NA	594	398	546	1595	1195	880
DRP2	NA	154	3	23	184	254	49
DSC1	NA	0	0	7	1	9	0
DSC2	NA	33	277	195	289	193	363
DSC3	NA	113	80	117	0	25	83
DSCAM	NA	11	66	94	4	25	2
DSCAML1	NA	6	20	21	2	31	4
DSCC1	NA	45	172	171	63	19	76
DSCR3	NA	1649	1981	1518	5232	3721	2454
DSE	NA	1651	841	809	4406	3308	2085
DSEL	NA	618	115	104	4004	2960	1465
DSG1	NA	0	0	0	0	0	0
DSG2	NA	141	563	371	352	261	882
DSG3	NA	13	9	18	4	8	6
DSG4	NA	4	8	21	0	6	0
DSN1	NA	279	350	297	265	222	169
DSP	NA	526	885	492	674	532	6429
DSTN	NA	13385	9589	8926	38262	44562	45514
DSTYK	NA	517	405	541	1205	1341	965
DTD1	NA	832	1351	1344	2381	2112	1524
DTD2	NA	502	713	569	1393	1116	750
DTL	NA	210	499	483	83	132	92
DTNA	NA	45	101	94	364	782	115
DTNB	NA	160	314	219	250	173	160
DTNBP1	NA	865	599	597	1309	1149	558
DTWD1	NA	212	333	287	1157	876	425
DTWD2	NA	68	144	247	255	245	157
DTX1	NA	57	248	259	21	30	4
DTX2	NA	947	455	743	977	1015	783
DTX3	NA	1019	1044	1268	2251	1767	1688
DTX3L	NA	2453	5120	5253	1959	1304	624
DTX4	NA	3818	3531	5125	992	1052	597
DTYMK	NA	828	1154	1195	2138	1906	1386
DUOX1	NA	19	2	3	391	146	209
DUOX2	NA	1	32	6	1	0	0
DUOXA1	NA	27	0	13	1136	539	558
DUOXA2	NA	26	94	70	0	1	0
DUPD1	NA	2	2	0	13	157	17
DUS1L	NA	351	652	705	823	643	343
DUS3L	NA	572	805	965	958	871	957
DUS4L	NA	150	259	200	249	294	113
DUSP1	NA	29132	14305	24052	44529	41435	30764
DUSP10	NA	833	3677	4565	1358	999	593
DUSP11	NA	2631	4474	4714	3437	3298	2260
DUSP12	NA	170	163	192	163	290	134
DUSP13	NA	27	10	19	19	88	16
DUSP14	NA	788	609	883	443	359	1023
DUSP15	NA	1	2	0	0	2	0
DUSP16	NA	878	743	822	1033	831	772
DUSP18	NA	381	287	399	549	904	351
DUSP19	NA	272	406	360	464	440	317
DUSP2	NA	1423	1395	2025	17	4	88
DUSP22	NA	534	753	802	2494	1525	1103
DUSP23	NA	340	204	180	593	503	356
DUSP26	NA	2	0	1	5	4	0
DUSP27	NA	0	16	9	1	31	0
DUSP28	NA	228	190	205	315	270	241
DUSP3	NA	8504	2999	5260	18042	17806	8582
DUSP4	NA	356	637	907	13	62	41
DUSP5	NA	207	410	601	39	61	77
DUSP6	NA	5147	4551	4600	1462	2662	12673
DUSP7	NA	344	414	341	484	434	1236
DUSP8	NA	1001	436	462	2363	2106	2479
DUSP9	NA	3	3	9	1	0	3
DUT	NA	513	1652	1626	486	356	404
DVL1	NA	271	215	356	616	387	314
DVL2	NA	236	168	198	300	294	236
DVL3	NA	303	180	250	435	386	342
DYDC1	NA	0	0	2	0	4	0
DYDC2	NA	3	0	3	0	8	0
DYM	NA	843	637	826	1347	1027	768
DYNC1H1	NA	2239	2478	2691	3211	2405	2510
DYNC1I1	NA	3	9	1	84	35	4
DYNC1LI1	NA	1049	981	1117	1630	1393	902
DYNC1LI2	NA	1364	1102	1229	3817	3464	2121
DYNC2H1	NA	287	205	256	1685	1473	977
DYNC2LI1	NA	418	157	144	2173	1468	1013
DYNLL1	NA	10526	8564	8378	14336	15739	7753
DYNLL2	NA	197	363	306	690	669	367
DYNLRB1	NA	5649	5618	5075	8831	7465	4657
DYNLRB2	NA	1	1	1	7	0	2
DYNLT1	NA	95	161	115	76	55	46
DYNLT3	NA	3963	3640	4443	11963	9770	6246
DYRK1A	NA	1835	2486	3300	1782	1513	1355
DYRK1B	NA	48	54	101	119	76	80
DYRK2	NA	209	285	461	193	170	96
DYRK3	NA	34	43	41	15	41	27
DYRK4	NA	26	61	93	1	4	4
DYSF	NA	59	15	8	5	38	0
DYTN	NA	0	4	9	0	1	0
DYX1C1	NA	30	73	159	24	102	21
DZANK1	NA	25	52	55	278	229	75
DZIP1	NA	159	155	196	671	544	355
DZIP1L	NA	225	14	76	171	165	195
DZIP3	NA	252	234	318	567	616	369
C17orf96	NA	31	25	27	9	2	16
C7orf26	NA	127	163	212	170	181	169
LOC101928991	NA	0	8	1	3	0	10
C3orf33	NA	321	412	382	1000	898	406
CCDC180	NA	56	80	54	0	5	0
PIH1D3	NA	0	0	0	0	0	0
E2F1	NA	292	165	168	229	191	138
E2F2	NA	476	775	697	151	90	54
E2F3	NA	177	233	216	212	171	44
E2F4	NA	698	1413	1502	996	939	529
E2F5	NA	138	181	158	364	413	226
E2F6	NA	161	199	108	419	432	209
E2F7	NA	11	95	60	91	83	42
E2F8	NA	103	133	175	31	12	13
KIAA1147	NA	46	19	59	9	6	7
KIAA0196	NA	895	667	977	1506	1059	624
E4F1	NA	404	938	905	599	750	759
EAF1	NA	1042	818	957	847	650	622
EAF2	NA	86	328	201	222	215	188
EAPP	NA	2033	3443	3626	3577	2829	1553
EARS2	NA	151	216	290	144	145	46
EBAG9	NA	221	437	413	699	602	271
EBF1	NA	1438	1768	2186	10471	5751	3765
EBF2	NA	132	68	137	16492	8871	5430
EBF3	NA	141	45	39	442	501	287
EBF4	NA	32	7	11	13	35	12
EBI3	NA	1173	966	771	17	17	103
EBNA1BP2	NA	1719	2879	2646	3652	3414	2306
EBP	NA	2073	2273	2336	3233	2401	1597
EBPL	NA	552	480	492	725	505	588
ECD	NA	771	1842	1908	2009	1820	1123
ECE1	NA	4213	1614	2771	7191	6975	4661
ECE2	NA	456	372	295	441	500	299
ECEL1	NA	0	0	1	1	0	0
ECH1	NA	2588	5505	5324	11327	9011	5448
ECHDC1	NA	79	165	150	332	234	233
ECHDC2	NA	414	298	214	1206	1108	816
ECHDC3	NA	89	78	49	296	172	152
ECHS1	NA	2320	2209	2309	5920	5204	4026
ECI1	NA	917	1679	1576	2093	1891	1731
ECI2	NA	1649	1731	1758	5465	4480	2939
ECM1	NA	12579	3437	2979	103160	72355	37459
ECM2	NA	476	131	71	10138	8099	3503
ECSCR	NA	2342	948	557	1226	981	583
ECSIT	NA	266	545	517	719	939	470
ECT2	NA	140	258	466	354	244	102
ECT2L	NA	5	1	31	7	23	1
EDA2R	NA	500	164	164	538	643	132
EDAR	NA	8	3	17	14	48	179
EDARADD	NA	71	446	458	49	122	1485
EDC3	NA	540	1092	1172	1137	988	632
EDC4	NA	787	1016	1542	1295	1355	1068
EDDM3B	NA	0	0	8	13	0	2
EDEM1	NA	4317	5390	6762	1656	1289	799
EDEM2	NA	1901	2373	2031	4295	3182	1484
EDEM3	NA	497	573	787	1552	1163	890
EDF1	NA	2467	3249	3308	3776	3305	2373
EDN1	NA	523	677	557	1932	590	633
EDN2	NA	9	0	9	9	7	12
EDN3	NA	0	9	26	558	3264	759
EDNRA	NA	5696	440	375	1190	2921	509
EDNRB	NA	420	560	448	391	158	2782
EEA1	NA	1938	1797	2232	2712	2077	1435
EED	NA	1391	2241	2407	1811	1494	1000
EEF1A1	NA	99733	163094	187902	221121	186092	132299
EEF1A2	NA	1	0	16	0	3	0
EEF1B2	NA	9588	17141	17043	15792	13650	12588
EEF1D	NA	4285	6212	6934	10840	8934	6137
EEF1E1	NA	899	2149	2169	1161	1186	612
EEF1G	NA	4232	7047	7000	7048	6152	5277
EEF2	NA	46748	74823	86694	65767	55739	54956
EEF2K	NA	501	382	313	1414	1186	1528
EEFSEC	NA	464	791	811	810	644	605
EEPD1	NA	614	412	400	362	324	441
EFCAB1	NA	23	0	0	1	0	131
EFCAB11	NA	17	30	97	12	12	8
EFCAB12	NA	7	38	38	6	6	7
EFCAB14	NA	2281	2477	2473	5427	4106	3584
EFCAB2	NA	119	132	192	205	189	115
EFCAB3	NA	2	4	1	2	10	0
EFCAB5	NA	9	15	14	16	28	15
EFCAB6	NA	12	15	27	58	65	14
EFCAB7	NA	54	142	159	303	239	152
EFCAB9	NA	0	4	9	2	10	1
EFCC1	NA	38	10	25	217	138	68
EFEMP1	NA	3780	1043	1066	229541	136153	76199
EFEMP2	NA	5990	539	683	7726	6136	2536
EFHB	NA	11	0	11	138	123	33
EFHC1	NA	160	5	84	560	552	361
EFHC2	NA	0	35	1	17	0	6
EFHD1	NA	17	25	9	3864	1531	1233
EFHD2	NA	4434	4431	6221	1050	685	1112
EFNA1	NA	273	609	483	963	670	1812
EFNA2	NA	71	14	53	117	134	54
EFNA3	NA	21	0	5	12	6	4
EFNA4	NA	89	65	88	151	137	84
EFNA5	NA	3292	516	650	9597	7076	4532
EFNB1	NA	298	144	172	873	834	968
EFNB2	NA	701	592	363	507	509	1040
EFNB3	NA	0	13	27	9	35	9
EFR3A	NA	2775	3666	4655	5178	4705	3063
EFR3B	NA	58	12	15	62	50	17
EFS	NA	250	128	122	2264	1920	1630
EFTUD1	NA	557	652	744	1167	907	628
EFTUD2	NA	1551	2863	2875	3157	2399	1866
EGF	NA	93	540	546	1696	1077	251
EGFL6	NA	0	8	21	12	11	292
EGFL7	NA	63	174	191	1	13	34
EGFL8	NA	3	6	13	2	9	1
EGFLAM	NA	2741	71	198	1812	4251	1084
EGFR	NA	1311	353	285	9459	6895	4863
EGLN1	NA	649	926	780	1438	1023	519
EGLN2	NA	809	842	1100	1078	893	906
EGLN3	NA	327	527	431	43	100	77
EGR1	NA	25879	8625	9884	76105	67832	63648
EGR2	NA	3854	1232	1796	4339	3857	5051
EGR3	NA	28	29	53	7	24	246
EGR4	NA	7	6	5	0	0	13
EHBP1	NA	168	93	142	1507	965	749
EHD1	NA	6664	3671	4397	4595	3513	2359
EHD2	NA	2761	316	454	20154	14552	6592
EHD3	NA	495	2859	2927	237	536	220
EHD4	NA	2256	1990	2580	893	727	1938
EHF	NA	893	4695	3901	7335	5547	2361
EHHADH	NA	64	248	211	694	410	226
EHMT1	NA	793	1261	1246	1879	1637	1080
EHMT2	NA	803	974	1276	1271	1041	927
EI24	NA	569	805	677	1451	1324	941
EID1	NA	1116	580	786	1437	1361	880
EID2	NA	11	33	17	70	40	42
EID2B	NA	100	62	60	98	173	125
EID3	NA	32	4	20	21	2	14
EIF1AX	NA	7734	5801	6853	12351	11751	10991
EIF1AD	NA	1139	1909	1726	1354	994	652
EIF1AY	NA	1620	2501	2238	2886	2637	1518
EIF1B	NA	1315	1506	1455	2169	2314	1111
EIF2A	NA	1813	2357	2883	5112	3814	2916
EIF2AK1	NA	846	1073	1212	1564	1339	795
EIF2AK2	NA	1167	2114	1819	2153	1008	965
EIF2AK3	NA	524	1225	1680	951	735	591
EIF2AK4	NA	149	199	379	332	201	263
EIF2B1	NA	1006	1773	1779	2696	2228	1182
EIF2B2	NA	715	1506	1168	1158	927	481
EIF2B3	NA	666	693	993	1907	1692	794
EIF2B4	NA	482	754	821	1178	942	610
EIF2B5	NA	480	632	678	652	889	490
EIF2D	NA	793	1691	1945	2535	1884	1292
EIF2S1	NA	3918	6058	6226	5505	4903	3302
EIF2S2	NA	2756	3041	3374	4048	3685	2732
EIF2S3	NA	188	188	213	294	306	189
EIF3A	NA	7081	9559	10951	11332	9611	7248
EIF3B	NA	939	1241	1295	1719	1246	1048
EIF3C	NA	4975	6413	6780	9022	8168	5419
EIF3D	NA	3027	4720	4977	4666	4091	2655
EIF3E	NA	6792	14204	15270	14195	12284	8611
EIF3F	NA	1531	2758	2838	1833	1486	1591
EIF3G	NA	2634	4515	5405	4864	4094	3168
EIF3H	NA	8911	16041	17203	15036	12586	10832
EIF3I	NA	5487	8636	8480	11057	8478	6604
EIF3J	NA	0	0	0	0	0	0
EIF3K	NA	4232	6293	6648	9213	7164	5897
EIF3L	NA	4831	5798	6305	11819	9004	6372
EIF3M	NA	3196	6037	6454	5544	4818	3566
EIF4A1	NA	4351	3242	4076	4503	3913	4979
EIF4A2	NA	15248	20320	27027	27240	26228	21152
EIF4A3	NA	1779	2890	2929	2665	2423	1564
EIF4B	NA	4035	6395	6070	11104	8872	6007
EIF4E	NA	4217	3833	4198	5057	4899	2897
EIF4E1B	NA	0	1	0	0	0	0
EIF4E2	NA	2543	3432	3667	3856	3171	1968
EIF4E3	NA	1359	1413	2043	1404	1629	1126
EIF4EBP1	NA	3251	1476	1515	3724	2824	1895
EIF4EBP2	NA	180	242	370	304	285	290
EIF4EBP3	NA	206	268	215	197	197	140
EIF4ENIF1	NA	448	867	1051	831	688	575
EIF4G2	NA	25749	27114	33961	48734	42866	29202
EIF4G3	NA	2113	1901	2674	2917	2812	1655
EIF4H	NA	5891	6160	6841	9339	7863	6996
EIF5	NA	16414	9737	15664	10234	8964	11266
EIF5A	NA	18294	21995	22723	30796	24348	17870
EIF5A2	NA	216	220	160	463	514	226
EIF5B	NA	2040	3493	4312	3954	3980	2609
EIF6	NA	1888	1867	2125	2200	2007	1934
ELAC1	NA	335	651	647	973	811	489
ELAC2	NA	152	354	395	342	334	194
ELANE	NA	0	111	2	1	5	1
ELAVL1	NA	1462	2162	2263	1724	1768	1368
ELAVL2	NA	4	17	89	42	33	2
ELAVL3	NA	33	14	68	5	27	3
ELAVL4	NA	46	9	29	3	42	7
ELF1	NA	2964	7608	9777	2839	2167	2210
ELF2	NA	1036	1132	1459	1557	1288	1200
ELF3	NA	651	4112	3675	1402	1361	2627
ELF4	NA	1078	1450	1871	659	485	478
ELFN1	NA	18	33	27	19	4	10
ELK1	NA	161	191	172	371	488	255
ELK3	NA	1017	982	1282	463	309	323
ELK4	NA	386	641	980	320	516	446
ELL	NA	1461	1483	2019	2045	1473	1405
ELL2	NA	3202	2606	3799	1022	1142	1028
ELL3	NA	47	173	155	32	44	54
